id,source_name,model,claude,claude_note,title,summary
161063,TRT Haber,negative,positive,kutlama ve olumlu mesaj içeriği,"emine erdoğan, 25 mayıs afrika günü'nü kutladı","cumhurbaşkanı recep tayyip erdoğan'ın eşi emine erdoğan, 25 mayıs afrika günü'nü kutladı."
161098,TRT Haber,positive,negative,siyasi kınama ve eleştiri içeriği,efkan ala: chp'nin kurumsallaşmış geleneği olan parti içi kavgalarına ayıracak vaktimiz de yok niyetimiz de,"ak parti genel başkanvekili efkan ala, ""türkiye büyük millet meclisi önünde türkiye cumhuriyeti devlet başkanı'na yönelik sarf edilen saygısız sloganları reddediyor ve iade ediyoruz"" ifadesini kullandı."
162028,Yeni Şafak,positive,negative,"yasa dışı bahis suçu, 59 kişi tutuklandı",antalya merkezli yasa dışı bahis soruşturmasında 59 şüpheli tutuklandı,antalya merkezli 20 ilde yürütülen yasa dışı bahis soruşturması kapsamında 59 kişi tutuklandı.
162030,Yeni Şafak,positive,negative,ünlü oyuncu uyuşturucu operasyonunda gözaltına alındı,ünlü oyuncu serenay sarıkaya gözaltına alındı,bakırköy cumhuriyet başsavcılığı tarafından ünlülere yönelik başlatılan uyuşturucu operasyonunda serenay sarıkaya gözaltına alındı.
162103,Yeni Şafak,positive,negative,"ruhsatsız silah operasyonu, tutuklama ve suç",şanlıurfa’da ruhsatsız silah operasyonu: 1 tutuklama,"şanlıurfa i̇l emniyet müdürlüğü ekipleri, düzenlenen operasyonda çok sayıda silah ve mühimmat ele geçirdi. gerçekleşen operasyon sonucu gözaltına 2 şüpheliden 1'i tutuklandı."
167017,CNN Türk,negative,positive,"181 suç örgütü çökertildi, güvenlik başarısı",suç örgütlerine büyük darbe!,11 şubat-21 mayıs tarihleri arasında türkiye suç örgütlerine 49 bin 662 operasyon düzenlendi. ekipler 100 günde 181 suç örgütünü çökertti.
166984,CNN Türk,positive,negative,Wolfsburg 30 yıl sonra küme düştü,"wolfsburg, 30 yıl sonra küme düştü! paderborn, bundesliga'da...","almanya bundesliga play-out finali ikinci maçında paderborn, uzatmalarda wolfsburg'u 2-1 mağlup ederek bundesliga'ya yükseldi."
167057,CNN Türk,positive,negative,"enflasyon emekli zamlarını eritiyor, alım gücü azalıyor",memur ve emekliye çift zam hesabı! i̇şte uzman isimden detaylar…,"ekonomist muhammet bayram, 2026 yılının ilk dört ayında oluşan yüzde 14,64’lük enflasyon farkının emeklilere verilen zamların büyük kısmını erittiğini söyledi. yılın devamında bu oranın yüzde 18-19 seviyelerine çıkabileceğini belirten bayram, emeklilerin alım gücünün azaldığını ifade etti. emeklilerin enflasyon zammının yanı sıra seyyanen artış ve taban maaş düzenlemesi beklediği, ancak kalıcı çözümün enflasyonun düşmesiyle mümkün olacağı vurgulandı. detayları cnn türk ekibinden ahmet gündoğdu'nun haberinde."
169476,Yeni Şafak,positive,negative,"İsrail müdahalesi, Türk aktivist yaralandı",i̇srail'in yaraladığı türk aktiviste yeğeninden duygulandıran filistin mektubu,"gazze’ye insani yardım ulaştırmak amacıyla yola çıkan küresel sumud filosu’na i̇srail ordusunun müdahalesinde yaralanan türk aktivist mecid bağçivan’ın 10 yaşındaki yeğeni elif’in yazdığı mektup duygulandırdı. mektubunda filistin’i özgürleştirme hayalinden bahseden elif, büyüyünce vakıf kurup mazlumlara yardım etmek istediğini anlattı."
175532,Milliyet,positive,negative,"cinayet soruşturması, gözaltı, ölüm olayı",andiç’in oğlu görevinden ayrıldı,"mahkemenin babasını öldürmüş olabileceği gerekçesiyle yürüttüğü cinayet soruşturması kapsamında geçen hafta gözaltına alınıp 1 milyon euro kefaletle serbest bırakılan jonathan andiç (45) suçlamaları reddediyor.i̇sak andiç, 14 aralık 2024’te i̇spanya’daki montserrat dağlarında oğluyla birlikte yürürken düşmüş ve 71 yaşında hayatını kaybetmişti. önce kaza denilen olay sonra mahkemenin jonathan andiç’e yönelik deliller olduğu gerekçesiyle cinayet soruşturması başlatmasıyla gündeme geldi. i̇stanbul doğumlu i̇sak andiç, 1960’ların sonlarında genç bir delikanlıyken ailesiyle birlikte türkiye’den barselona’ya taşındı. 1984 yılında ağabeyininyardımıyla ilk mango mağazasını açtı ve şirketi kısa sürede önde gelen moda gruplarından biri haline getirdi."
175015,Sözcü,positive,negative,"kavga, yaralı ve gözaltı haberi",cizre savaş alanına döndü: i̇ki ailenin kavgasında 8 kişi yaralandı 17 gözaltı var,
180427,Habertürk,positive,negative,"altın fiyatlarında düşüş, gerilim barış görüşmelerini sekteye uğrattı",abd-i̇ran gerilimi sonrası altın fiyatlarında düşüş,"altın fiyatları, abd-i̇ran geriliminin yeniden artması ve barış görüşmelerini sekteye uğratması sonrası düşüş serisini sürdürüyor"
183433,TRT Haber,positive,negative,"33 kedi ölümü, veteriner tutuklandı, suç ve mağduriyet",33 kedinin ölümü cezasız kalmadı,i̇zmir'in buca ilçesinde 33 kedinin çöp konteynerleri önünde ölü bulunmasına ilişkin soruşturmada gözaltına alınan veteriner hekim tutuklandı.
190939,Cumhuriyet,positive,negative,"mafya, yoksul mağduriyeti, yasa dışı arazi satışı",hazine arazilerini evsiz kent yoksullarına yüksek bedelle satan mafyanın 70’lerde hızı kesildi,özellikle de seçim dönemlerinde hükümet ve belediyeler gecekondu aflarının yanında başka adımlar da atmaya başladı.
200938,Sözcü,positive,negative,"söz verilip yerine getirilmemesi, ihanet/başarısızlık",kılıçdaroğlu 'partiyi birlikte yöneteceğiz' demişti: telefonlarına bile çıkmadı,
208469,Sözcü,positive,negative,"ehliyetsiz sürücü, polisten kaçma, suç","ehliyetsiz sürücü polisten kaçtı, yakalanınca 'benim hatam' dedi",
209231,TRT Haber,negative,positive,tehlikede olan 9 kişi kurtarıldı,marmara'da arıza yapan teknedeki 9 kişi kurtarıldı,marmara denizi beylikdüzü açıklarında makine arızası verip sürüklenen teknedeki 2'si çocuk 9 kişi sahil güvenlik ekiplerince kurtarıldı.
222905,CNN Türk,positive,negative,"şehit haberi, ölüm ve yas",cumhurbaşkanı erdoğan'dan şehit ailesine başsağlığı mesajı,"cumhurbaşkanı recep tayyip erdoğan, şehit jandarma astsubay üstçavuş yusuf ergün'ün ailesine başsağlığı mesajı gönderdi."
222777,NTV,positive,negative,"şehit haberi, ölüm ve başsağlığı mesajı",cumhurbaşkanı erdoğan'dan şehit ailesine başsağlığı mesajı,"cumhurbaşkanı recep tayyip erdoğan, şehit jandarma astsubay üstçavuş yusuf ergün'ün ailesine başsağlığı mesajı gönderdi."
224043,Sabah,negative,positive,"büyük hedefler ve hayaller, iyimser açıklama","deniz gül: ""çok büyük hayallerim ve hedeflerim var""","milli futbolcu deniz gül, hedeflerinin ve hayallerinin çok büyük olduğunu söyledi. devamı için tıklayınız"
223332,Sözcü,positive,negative,"ölüm ve gözaltı, şiddet suçu",evde bıçaklanmış halde ölü bulunan gencin kız arkadaşı gözaltında,
229583,Hürriyet,positive,negative,"Monroe'nun sömürülmesi eleştirisi, mağduriyet vurgusu","göğüs röntgeni, mezarı ve kardashian’lar: marilyn monroe 100. yaşında hâlâ sömürülüyor mu?","marilyn monroe, popüler kültürün en çok hayranlık duyulan isimlerinden biri... zirvedeki yıllarında hollywood çarklarının ve popüler kültür endüstrisinin marilyn'i acımasızca sömürdüğü sır değil ancak o bugün 100’üncü yaşında belki de yaşadığı yıllardan daha çok sömürülüyor..."
230879,Sözcü,negative,positive,"mesafe kısaldı, teknolojik başarı haberi","2 bölge arasındaki mesafe 50 dakikaya düştü: robotlar yaptı, insan eli değmedi",
